closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
         A. Chit: Head +1 |          0 |                 Safe |                                                                                          |                                  Ambuscade chit: headgear +1
         Alabaster Mantle |          0 |           Wardrobe 8 |                                                                                          |                                             alabaster mantle
          Glk. Sausage +3 |          0 |            Inventory |                                                                                          |                                            Galkan sausage +3
           Kitron Macaron |          0 |              Satchel |                                                                                          |                                               kitron macaron
                   Colada |          0 |               Safe 2 |                                                                                          |                                                       Colada
              Kin's Scale |          0 |                 Safe |                                                                                          |                                                  Kin's scale
        Vedrfolnir's Wing |          0 |                 Safe |                                                                                          |                                            Vedrfolnir's wing
         Demers. Degen +1 |          0 |             Wardrobe |                                                                                          |                                            demersal degen +1
                 Norifusa |          0 |               Safe 2 |                                                                                          |                                                     Norifusa
                Hotengeki |          0 |               Safe 2 |                                                                                          |                                                    hotengeki
          Mekosu. Harness |          0 |           Wardrobe 8 |                                                                                          |                                         mekosuchinae harness
         Vidmapire's Claw |          0 |                 Safe |                                                                                          |                                             Vidmapire's claw
            Lucidity Sash |          0 |           Wardrobe 8 |                                                                                          |                                                lucidity sash
             Loughnashade |          0 |             Wardrobe |                                                                                          |                                                 Loughnashade
              Tengu Shawl |          0 |                 Sack |                                                                                          |                                                  tengu shawl
                 Titanite |          0 |                 Case |                                                                                          |                                                     titanite
              Kupon I-Aby |          0 |                 Safe |                                                                                          |                                              Mog Kupon I-Aby
          Beitetsu Parcel |          0 |           Case, Case |                                                                                          |                                              beitetsu parcel
              Heavy Metal |          0 |                 Case |                                                                                          |                                         plate of heavy metal
          Maze Tabula M01 |          0 |            Inventory |                                                                                          |                                              Maze Tabula M01
           Loagaeth Cuffs |          0 |               Safe 2 |                                                                                          |                                               loagaeth cuffs
          Mirage Stole +1 |          0 |           Wardrobe 3 |                                                                                          |                                              mirage stole +1
             Punchinellos |          0 |               Locker |                                                                                          |                                                 punchinellos
        Aya. Zucchetto +2 |          0 |            Inventory |                                                                                          |                                          ayanmo zucchetto +2
          Marbled Drawers |          0 |               Safe 2 |                                                                                          |                                     chest of marbled drawers
                 Gemscope |          0 |               Safe 2 |                                                                                          |                                                     gemscope
        Duskslit Stone +1 |          0 |                 Case |                                                                                          |                                            duskslit stone +1
             Avatar Blood |          0 |           Sack, Case |                                                                                          |                                       bottle of avatar blood
           Esthete's Hose |          0 |               Safe 2 |                                                                                          |                                               esthete's hose
        El. Pachira Fruit |          0 |            Inventory |                                                                                          |                                        Elshimo pachira fruit
           Yorium Barbuta |          0 |                 Case |                                                                                          |                                               yorium barbuta
                 Magoroku |          0 |               Safe 2 |                                                                                          |                                                     Magoroku
            Nibiru Cudgel |          0 |               Safe 2 |                                                                                          |                                                nibiru cudgel
                Kunimitsu |          0 |             Wardrobe |                                                                                          |                                                    Kunimitsu
               Silver Gun |          0 |           Wardrobe 7 |                                                                                          |                                                   silver gun
            Abdhaljs Dust |          0 |                 Safe |                                                                                          |                                       pinch of Abdhaljs dust
             Pelican Ring |          0 |           Wardrobe 7 |                                                                                          |                                                 pelican ring
            Dcl.Grd. Ring |          0 |               Safe 2 |                                                                                          |                                           Ducal Guard's ring
               Echad Ring |          0 |               Locker |                                                                                          |                                                   echad ring
           Marin Staff +1 |          0 |             Wardrobe |                                                                                          |                                               marin staff +1
          Aurum Gauntlets |          0 |               Safe 2 |                                                                                          |                                              aurum gauntlets
              Vile Elixir |          0 |            Inventory |                                                                                          |                                                  vile elixir
          Bookworm's Cape |          0 |           Wardrobe 8 |                                                                                          |                                              bookworm's cape
             Samnuha Coat |          0 |               Safe 2 |                                                                                          |                                                 samnuha coat
          Rhapsode's Cape |          0 |                 Sack |                                                                                          |                                              rhapsode's cape
       Calamitous Earring |          0 |           Wardrobe 8 |                                                                                          |                                           calamitous earring
                   Ochain |          0 |             Wardrobe |                                                                                          |                                                       Ochain
                 Caduceus |          0 |           Wardrobe 7 |                                                                                          |                                                     Caduceus
         A. Chit: Hand +1 |          0 |                 Safe |                                                                                          |                                  Ambuscade chit: handgear +1
          Fettering Blade |          0 |             Wardrobe |                                                                                          |                                              fettering blade
               Opalus Gem |          0 |                 Safe |                                                                                          |                                                   opalus gem
              Montante +1 |          0 |             Wardrobe |                                                                                          |                                                  montante +1
           Ahosi Leggings |          0 |           Wardrobe 8 |                                                                                          |                                               ahosi leggings
